-183.800, 80.200, 0.000,  0.000
-183.800, 80.200, 0.000,  0.016
-183.800, 80.200, 0.000,  0.049
-183.800, 80.200, 0.000,  0.082
-183.800, 80.200, -0.012,  0.115
-183.800, 80.199, 0.029,  0.148
-183.800, 80.198, 0.028,  0.181
-183.800, 80.197, 0.029,  0.214
-183.800, 80.195, 0.046,  0.247
-183.799, 80.190, 0.169,  0.280
-183.796, 80.182, 0.251,  0.313
-183.793, 80.171, 0.341,  0.346
-183.787, 80.156, 0.449,  0.379
-183.780, 80.140, 0.508,  0.412
-183.771, 80.121, 0.583,  0.445
-183.758, 80.098, 0.696,  0.478
-183.742, 80.075, 0.714,  0.511
-183.725, 80.050, 0.801,  0.544
-183.704, 80.023, 0.884,  0.577
-183.682, 79.994, 0.951,  0.610
-183.657, 79.963, 0.999,  0.643
-183.630, 79.931, 1.070,  0.676
-183.601, 79.898, 1.137,  0.709
-183.570, 79.863, 1.208,  0.742
-183.537, 79.826, 1.296,  0.775
-183.502, 79.786, 1.389,  0.808
-183.466, 79.745, 1.474,  0.841
-183.430, 79.701, 1.543,  0.874
-183.393, 79.657, 1.586,  0.907
-183.356, 79.612, 1.612,  0.940
-183.319, 79.567, 1.642,  0.973
-183.281, 79.521, 1.683,  1.006
-183.243, 79.473, 1.734,  1.039
-183.204, 79.425, 1.785,  1.072
-183.164, 79.375, 1.825,  1.105
-183.125, 79.325, 1.846,  1.138
-183.086, 79.275, 1.847,  1.171
-183.047, 79.225, 1.838,  1.204
-183.009, 79.175, 1.836,  1.237
-182.970, 79.125, 1.852,  1.270
-182.932, 79.075, 1.883,  1.303
-182.892, 79.023, 1.924,  1.336
-182.853, 78.969, 1.964,  1.369
-182.813, 78.915, 1.986,  1.402
-182.775, 78.861, 1.990,  1.435
-182.736, 78.806, 1.971,  1.468
-182.699, 78.753, 1.951,  1.501
-182.662, 78.699, 1.941,  1.534
-182.626, 78.645, 1.951,  1.567
-182.589, 78.590, 1.975,  1.600
-182.553, 78.534, 2.003,  1.633
-182.517, 78.477, 2.016,  1.666
-182.482, 78.420, 2.009,  1.699
-182.448, 78.363, 1.993,  1.732
